"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SF","RB1","216.9","1,004.4","7.5","75.0","636.2","4.2","1.0","232.0"
"Austin Ekeler","LAC","RB2","191.2","861.2","9.4","77.6","599.5","3.9","1.7","222.3"
"Nick Chubb","CLE","RB3","274.4","1,365.3","9.2","27.5","234.4","1.1","1.6","218.6"
"Derrick Henry","TEN","RB4","304.2","1,333.8","9.1","31.9","270.0","0.8","2.0","216.1"
"Josh Jacobs","LV","RB5","266.6","1,237.6","9.8","40.6","297.0","0.9","1.7","214.3"
"Bijan Robinson","ATL","RB6","240.7","1,150.9","8.5","41.2","339.1","2.1","1.9","208.5"
"Tony Pollard","DAL","RB7","218.1","1,082.9","7.9","44.8","372.7","2.1","0.8","204.4"
"Saquon Barkley","NYG","RB8","251.7","1,124.4","7.9","51.9","367.4","1.7","1.2","204.3"
"Justin Jefferson","MIN","WR1","3.7","18.1","0.3","109.8","1,528.7","8.0","0.4","203.7"
"Jonathan Taylor","IND","RB9","267.1","1,239.5","8.5","32.0","227.1","0.9","2.2","199.2"
"Ja'Marr Chase","CIN","WR2","5.2","24.6","0.1","107.0","1,376.9","10.0","1.1","198.8"
"Tyreek Hill","MIA","WR3","9.5","57.1","0.6","105.5","1,402.9","8.0","0.5","196.1"
"Cooper Kupp","LAR","WR4","7.1","70.0","0.9","103.5","1,319.9","8.7","0.6","194.9"
"Joe Mixon","CIN","RB10","236.4","981.9","7.7","51.0","372.8","2.2","1.1","192.4"
"Rhamondre Stevenson","NE","RB11","218.9","1,044.7","6.5","55.8","383.3","1.5","1.6","187.4"
"Aaron Jones","GB","RB12","201.8","992.9","5.6","51.4","385.3","2.8","1.3","185.2"
"Najee Harris","PIT","RB13","263.0","1,037.7","6.8","40.3","272.3","2.3","1.5","182.6"
"Travis Kelce","KC","TE1","0.0","2.5","0.0","104.8","1,242.6","9.8","0.6","182.4"
"CeeDee Lamb","DAL","WR5","8.5","55.1","0.3","97.4","1,274.6","8.0","0.5","181.4"
"Breece Hall","NYJ","RB14","190.9","947.3","6.6","40.6","359.5","2.2","1.2","181.0"
"Travis Etienne Jr.","JAC","RB15","221.8","1,089.8","6.6","36.4","293.9","1.0","2.3","179.1"
"Stefon Diggs","BUF","WR6","0.8","3.9","0.0","96.5","1,285.8","8.5","0.6","178.6"
"Davante Adams","LV","WR7","1.8","6.7","0.1","94.4","1,235.3","9.0","0.5","177.6"
"Kenneth Walker III","SEA","RB16","227.3","1,034.6","8.2","27.6","183.3","0.7","0.6","173.8"
"A.J. Brown","PHI","WR8","0.4","4.6","0.0","79.1","1,209.1","8.7","0.6","172.4"
"Alexander Mattison","MIN","RB17","214.7","935.8","8.0","33.4","229.4","1.6","1.2","171.4"
"James Conner","ARI","RB18","212.3","907.2","6.9","41.4","300.8","1.3","1.3","167.3"
"Dameon Pierce","HOU","RB19","256.1","1,072.0","5.8","32.6","215.9","1.1","2.3","165.7"
"Jaylen Waddle","MIA","WR9","4.1","35.8","0.3","79.5","1,179.8","6.5","0.6","160.7"
"Jahmyr Gibbs","DET","RB20","177.3","778.1","6.5","44.2","348.8","2.0","1.5","160.3"
"Miles Sanders","CAR","RB21","214.3","1,002.7","6.0","29.8","209.2","0.8","1.4","159.1"
"Amon-Ra St. Brown","DET","WR10","7.8","62.4","0.4","101.0","1,147.5","5.8","0.4","157.8"
"Isiah Pacheco","KC","RB22","196.8","940.4","6.9","25.0","204.3","0.7","1.9","156.3"
"Cam Akers","LAR","RB23","235.8","975.3","6.4","24.5","204.3","0.7","2.1","156.2"
"J.K. Dobbins","BAL","RB24","177.7","904.2","6.8","23.3","166.9","1.6","0.7","156.2"
"Rachaad White","TB","RB25","206.4","843.8","4.6","46.9","337.4","1.9","2.7","151.5"
"Deebo Samuel","SF","WR11","43.0","258.8","2.5","71.0","901.9","3.9","1.5","151.3"
"Amari Cooper","CLE","WR12","0.7","1.9","0.0","75.3","1,062.5","7.3","0.3","149.8"
"Garrett Wilson","NYJ","WR13","1.9","3.3","0.0","84.8","1,145.4","6.1","0.7","149.7"
"David Montgomery","DET","RB26","194.9","782.0","6.3","33.2","278.9","1.2","1.3","148.3"
"Tee Higgins","CIN","WR14","0.7","2.9","0.0","80.2","1,088.3","6.5","0.5","147.2"
"Chris Olave","NO","WR15","0.0","0.2","0.0","81.2","1,136.6","5.6","1.4","144.8"
"Christian Watson","GB","WR16","7.4","66.6","1.0","69.6","955.3","6.1","0.3","144.0"
"DeVonta Smith","PHI","WR17","0.0","0.2","0.0","84.3","1,062.3","6.3","0.6","142.7"
"DK Metcalf","SEA","WR18","0.2","1.3","0.0","82.0","1,006.2","7.1","0.8","141.6"
"Jerry Jeudy","DEN","WR19","1.5","15.4","0.0","74.0","1,058.6","5.7","0.3","140.8"
"Javonte Williams","DEN","RB27","170.4","794.5","4.6","36.5","256.8","1.7","1.5","140.0"
"James Cook","BUF","RB28","152.8","777.3","4.6","34.7","261.2","1.7","1.4","139.1"
"Calvin Ridley","JAC","WR20","1.7","4.2","0.0","79.3","1,011.7","6.3","0.5","138.6"
"Terry McLaurin","WAS","WR21","3.1","19.4","0.1","72.4","1,032.7","5.2","0.4","135.9"
"Mike Williams","LAC","WR22","1.2","5.3","0.0","71.1","995.5","6.0","0.3","135.4"
"Alvin Kamara","NO","RB29","164.7","691.1","3.6","40.9","357.4","1.7","1.1","134.9"
"Keenan Allen","LAC","WR23","1.6","8.9","0.0","90.0","1,008.4","5.5","0.6","134.0"
"Mike Evans","TB","WR24","0.1","8.0","0.0","71.2","982.4","5.9","0.3","133.6"
"Christian Kirk","JAC","WR25","3.3","19.9","0.1","76.0","946.1","6.2","0.4","133.2"
"D'Andre Swift","PHI","RB30","125.5","584.1","5.1","42.0","343.0","1.9","0.9","133.1"
"AJ Dillon","GB","RB31","169.5","738.3","5.8","25.9","205.5","0.8","0.9","132.1"
"DeAndre Hopkins","TEN","WR26","0.2","1.4","0.0","76.4","992.5","5.6","0.7","131.4"
"DJ Moore","CHI","WR27","5.1","33.0","0.0","65.0","911.7","6.1","0.5","130.2"
"Brian Robinson Jr.","WAS","RB32","213.5","896.4","4.5","16.3","105.9","0.7","0.7","129.7"
"Mark Andrews","BAL","TE2","0.0","11.9","0.1","75.0","887.0","6.3","0.4","127.2"
"Chris Godwin","TB","WR28","2.3","11.3","0.1","92.6","980.9","4.4","1.0","124.2"
"Brandon Aiyuk","SF","WR29","2.8","18.7","0.2","63.8","899.9","5.3","0.5","123.8"
"Drake London","ATL","WR30","0.0","0.2","0.0","75.9","941.7","5.6","2.1","123.5"
"Tyler Lockett","SEA","WR31","0.3","0.8","0.0","71.2","882.7","5.8","0.5","121.9"
"Marquise Brown","ARI","WR32","1.7","9.9","0.0","78.5","899.2","5.0","0.4","120.2"
"Brandin Cooks","DAL","WR33","2.6","18.7","0.1","69.2","875.7","5.1","0.3","120.0"
"Gabe Davis","BUF","WR34","0.1","0.9","0.0","51.3","823.2","6.3","0.4","119.6"
"Jahan Dotson","WAS","WR35","3.1","9.9","0.1","57.2","815.3","6.1","0.3","119.0"
"George Pickens","PIT","WR36","2.3","16.0","0.4","54.3","838.8","5.1","0.3","117.8"
"Khalil Herbert","CHI","RB33","152.9","764.9","4.3","18.6","125.2","0.7","0.6","117.7"
"T.J. Hockenson","MIN","TE3","0.0","0.7","0.0","82.4","830.6","5.8","0.5","116.6"
"Samaje Perine","DEN","RB34","148.8","625.6","3.8","29.1","233.7","1.5","0.6","116.6"
"George Kittle","SF","TE4","0.0","4.3","0.0","60.7","800.3","6.1","0.5","116.2"
"Rashaad Penny","PHI","RB35","161.5","776.8","5.3","9.1","61.4","0.3","1.0","115.6"
"Diontae Johnson","PIT","WR37","4.7","24.8","0.0","79.0","885.5","4.2","0.7","114.8"
"Antonio Gibson","WAS","RB36","135.4","546.1","3.6","43.2","314.3","1.5","1.3","113.7"
"Michael Pittman Jr.","IND","WR38","1.9","18.9","0.0","75.7","863.8","4.3","0.5","113.2"
"Jeff Wilson Jr.","MIA","RB37","141.6","651.6","4.5","22.6","173.8","1.1","1.5","112.6"
"Jordan Addison","MIN","WR39","2.0","11.7","0.1","61.8","820.2","4.7","0.9","110.1"
"Treylon Burks","TEN","WR40","6.3","51.9","0.1","58.4","800.6","3.9","0.3","108.4"
"Jamaal Williams","NO","RB38","156.8","649.1","5.3","14.0","104.9","0.5","1.0","107.7"
"Kadarius Toney","KC","WR41","10.9","112.4","1.5","56.4","627.3","4.2","0.7","106.3"
"Michael Thomas","NO","WR42","0.4","1.6","0.0","66.0","778.4","4.6","0.3","105.2"
"Elijah Mitchell","SF","RB39","144.5","654.3","4.2","13.1","95.6","0.8","0.6","103.8"
"Jaxon Smith-Njigba","SEA","WR43","1.5","10.2","0.0","57.8","780.0","4.3","0.8","103.1"
"Darren Waller","NYG","TE5","0.0","1.1","0.0","63.3","773.2","4.4","0.6","102.5"
"JuJu Smith-Schuster","NE","WR44","0.2","1.2","0.1","69.1","776.2","4.2","0.7","101.8"
"Courtland Sutton","DEN","WR45","0.6","3.3","0.0","57.6","783.6","3.9","0.3","101.2"
"Zay Flowers","BAL","WR46","1.4","12.2","0.1","53.4","735.1","4.5","0.8","100.7"
"Kyle Pitts","ATL","TE6","0.0","0.5","0.0","59.2","772.1","3.9","0.3","100.3"
"Raheem Mostert","MIA","RB40","137.1","607.0","3.3","23.7","165.6","0.9","1.1","100.1"
"Dallas Goedert","PHI","TE7","0.0","0.4","0.0","64.5","756.8","4.2","0.6","100.0"
"Tyler Allgeier","ATL","RB41","148.6","689.9","3.3","11.5","89.7","0.5","0.6","99.6"
"Nico Collins","HOU","WR47","0.0","0.2","0.0","58.7","725.8","4.5","0.3","99.1"
"Jakobi Meyers","LV","WR48","1.2","2.5","0.0","63.4","756.2","3.9","1.0","97.6"
"Damien Harris","BUF","RB42","132.3","586.2","4.3","17.0","117.7","0.4","1.0","96.6"
"Tyler Boyd","CIN","WR49","1.9","10.6","0.0","57.9","718.4","3.8","0.5","95.0"
"Allen Lazard","NYJ","WR50","1.4","9.9","0.0","53.3","668.5","4.4","0.3","93.7"
"Marquez Valdes-Scantling","KC","WR51","0.9","2.4","0.0","44.1","694.9","4.0","0.1","93.5"
"D'Onta Foreman","CHI","RB43","138.7","677.7","3.4","6.9","52.2","0.2","0.9","93.1"
"Rashod Bateman","BAL","WR52","0.0","0.4","0.0","48.9","721.1","3.8","1.0","92.7"
"Adam Thielen","CAR","WR53","0.7","5.0","0.1","57.5","667.5","4.3","0.4","92.5"
"Rondale Moore","ARI","WR54","14.9","62.0","0.1","70.6","720.1","2.3","0.6","91.1"
"Quentin Johnston","LAC","WR55","3.4","17.5","0.1","48.0","684.8","3.6","0.8","91.0"
"DeVante Parker","NE","WR56","0.0","0.2","0.0","45.6","680.6","3.7","0.0","90.4"
"Devin Singletary","HOU","RB44","129.6","548.6","2.9","25.0","180.9","0.4","1.2","90.1"
"DJ Chark Jr.","CAR","WR57","0.2","1.7","0.0","43.0","683.2","3.6","0.0","90.0"
"Zay Jones","JAC","WR58","1.8","7.5","0.0","62.0","679.6","3.7","0.5","89.9"
"Chuba Hubbard","CAR","RB45","113.2","527.2","3.2","18.4","161.0","0.5","0.7","89.4"
"Darnell Mooney","CHI","WR59","1.9","9.0","0.1","50.7","656.1","3.8","0.3","88.9"
"Jonathan Mingo","CAR","WR60","1.6","15.7","0.1","47.8","665.7","3.4","0.5","88.3"
"Zach Charbonnet","SEA","RB46","115.8","503.4","3.2","19.8","164.3","0.7","1.0","87.7"
"Jameson Williams","DET","WR61","2.5","24.7","0.1","42.2","637.8","3.6","0.5","87.6"
"Romeo Doubs","GB","WR62","0.8","7.7","0.0","53.9","627.7","4.3","0.8","87.5"
"Donovan Peoples-Jones","CLE","WR63","0.5","0.6","0.0","46.7","690.7","3.2","0.6","87.1"
"Evan Engram","JAC","TE8","0.0","5.8","0.0","63.8","657.1","3.6","0.5","87.0"
"Pat Freiermuth","PIT","TE9","0.0","0.4","0.0","59.7","634.3","4.0","0.5","86.7"
"Curtis Samuel","WAS","WR64","26.2","144.9","0.9","48.4","515.3","2.6","0.5","85.7"
"Jaylen Warren","PIT","RB47","104.8","473.3","2.6","23.1","197.9","0.4","0.4","84.5"
"Chigoziem Okonkwo","TEN","TE10","5.0","18.9","0.2","48.2","587.5","3.8","0.0","84.2"
"Van Jefferson","LAR","WR65","0.9","6.1","0.0","42.2","598.7","3.9","0.0","84.0"
"De'Von Achane","MIA","RB48","112.4","452.7","2.9","21.6","180.8","0.9","0.9","84.0"
"Jerick McKinnon","KC","RB49","58.3","228.6","1.7","39.3","335.9","3.1","0.5","83.8"
"David Njoku","CLE","TE11","0.0","6.1","0.0","53.8","585.2","4.2","0.5","83.8"
"Michael Gallup","DAL","WR66","0.0","0.9","0.0","45.7","598.6","3.9","0.0","83.2"
"Greg Dulcich","DEN","TE12","0.0","0.8","0.0","49.4","598.3","3.8","0.0","82.9"
"Dalton Schultz","HOU","TE13","0.0","0.4","0.0","56.7","585.6","4.2","0.5","82.8"
"Hunter Renfrow","LV","WR67","0.6","4.7","0.0","62.0","607.3","3.8","0.6","82.8"
"Rashid Shaheed","NO","WR68","3.4","47.1","0.9","36.8","582.1","2.4","0.3","81.9"
"Isaiah Hodgins","NYG","WR69","0.0","0.7","0.0","47.2","540.0","4.9","0.7","81.9"
"Skyy Moore","KC","WR70","6.1","36.2","0.2","48.0","616.0","3.5","2.9","81.5"
"K.J. Osborn","MIN","WR71","2.6","12.2","0.1","47.5","543.3","4.3","0.3","81.1"
"Odell Beckham Jr.","BAL","WR72","1.4","20.5","0.3","41.2","557.9","3.5","0.1","80.3"
"Elijah Moore","CLE","WR73","4.9","24.4","0.2","42.7","578.5","3.1","0.3","79.4"
"Gus Edwards","BAL","RB50","112.2","534.7","3.2","6.7","59.1","0.2","0.9","77.5"
"John Metchie III","HOU","WR74","1.5","10.9","0.1","43.6","583.6","3.0","0.2","77.3"
"Tyler Higbee","LAR","TE14","0.0","0.5","0.0","60.7","565.7","3.4","0.3","76.4"
"Jayden Reed","GB","WR75","1.3","12.9","0.1","45.1","580.3","2.8","0.2","75.8"
"Gerald Everett","LAC","TE15","0.0","0.7","0.0","52.6","533.4","3.7","0.6","74.2"
"Robert Woods","HOU","WR76","4.1","19.6","0.2","55.5","552.1","2.8","0.4","74.0"
"Juwan Johnson","NO","TE16","0.0","0.4","0.0","40.4","476.4","4.2","0.0","72.7"
"Alec Pierce","IND","WR77","0.0","0.2","0.0","36.6","577.1","2.4","0.0","72.2"
"Roschon Johnson","CHI","RB51","102.0","459.3","2.5","8.9","102.7","0.5","1.0","72.0"
"Darius Slayton","NYG","WR78","0.7","1.9","0.0","38.1","583.7","2.4","0.6","71.9"
"Mecole Hardman Jr.","NYJ","WR79","8.1","62.6","0.9","37.6","457.5","2.6","0.9","71.3"
"Tank Bigsby","JAC","RB52","103.4","413.6","2.5","15.1","125.8","0.6","0.9","70.7"
"Kenneth Gainwell","PHI","RB53","75.3","343.4","3.1","19.2","152.2","0.6","0.6","70.6"
"Dalton Kincaid","BUF","TE17","0.0","1.0","0.0","41.3","486.9","3.7","0.4","70.4"
"Cole Kmet","CHI","TE18","0.0","1.1","0.0","42.5","469.6","3.9","0.1","70.3"
"Chase Claypool","CHI","WR80","6.0","40.2","0.2","35.3","503.3","2.6","0.5","70.3"
"Corey Davis","NYJ","WR81","0.0","0.5","0.0","36.8","544.6","2.6","0.1","69.8"
"Khalil Shakir","BUF","WR82","1.8","9.2","0.1","41.4","540.0","2.4","0.2","69.5"
"Russell Gage","TB","WR83","0.4","1.5","0.0","53.9","542.4","2.7","0.6","69.5"
"Allen Robinson II","PIT","WR84","0.1","0.4","0.0","42.5","532.2","2.5","0.0","68.5"
"Mack Hollins","ATL","WR85","0.7","16.0","0.1","43.3","490.6","2.8","0.2","67.4"
"Rashee Rice","KC","WR86","1.5","9.6","0.0","34.1","498.3","2.8","0.5","67.0"
"Tyquan Thornton","NE","WR87","3.0","11.6","0.7","35.6","444.4","2.8","0.0","66.5"
"Chase Edmonds","TB","RB54","79.4","350.4","1.7","21.2","167.6","0.8","0.4","66.3"
"Marvin Jones Jr.","DET","WR88","0.1","0.6","0.0","36.5","481.2","3.0","0.0","66.2"
"Greg Dortch","ARI","WR89","6.4","51.6","0.1","54.6","499.9","2.0","0.6","66.1"
"Irv Smith Jr.","CIN","TE19","0.0","0.5","0.0","43.3","414.0","4.1","0.0","65.8"
"Cordarrelle Patterson","ATL","RB55","72.3","307.8","2.3","19.2","159.3","0.8","0.4","64.8"
"Zonovan Knight","NYJ","RB56","101.5","396.5","1.8","16.1","117.8","0.6","0.4","64.5"
"Hunter Henry","NE","TE20","0.0","0.5","0.0","39.1","471.9","2.8","0.1","64.0"
"Noah Fant","SEA","TE21","0.0","0.8","0.0","44.6","461.4","2.8","0.1","62.9"
"Sam LaPorta","DET","TE22","0.0","0.8","0.0","39.4","437.2","3.3","0.4","62.7"
"Joshua Kelley","LAC","RB57","93.0","380.3","2.3","13.6","115.8","0.3","1.2","62.6"
"Hayden Hurst","CAR","TE23","0.0","0.4","0.0","45.3","437.6","3.0","0.5","60.9"
"Dawson Knox","BUF","TE24","0.0","0.7","0.0","35.4","400.7","3.5","0.2","60.7"
"Tyjae Spears","TEN","RB58","89.6","353.0","1.8","15.3","127.0","0.6","0.8","60.7"
"Clyde Edwards-Helaire","KC","RB59","76.9","326.5","2.1","12.2","109.3","0.9","0.5","60.4"
"Parris Campbell","NYG","WR90","3.2","36.8","0.1","35.7","436.7","2.2","0.2","60.4"
"Joshua Palmer","LAC","WR91","0.7","2.3","0.0","37.1","467.5","2.1","0.3","59.1"
"Ty Chandler","MIN","RB60","83.2","340.6","2.2","12.7","98.0","0.5","0.9","58.3"
"Jelani Woods","IND","TE25","0.0","0.9","0.0","34.3","415.5","2.7","0.0","58.1"
"Wan'Dale Robinson","NYG","WR92","2.5","10.1","0.1","35.4","456.4","1.9","0.5","57.4"
"Chase Brown","CIN","RB61","74.1","300.5","1.8","17.7","143.4","0.6","0.8","57.3"
"Tyler Conklin","NYJ","TE26","0.0","4.1","0.0","46.0","428.0","2.3","0.0","57.3"
"Jerome Ford","CLE","RB62","93.8","347.3","1.8","11.0","104.4","0.3","0.6","57.0"
"Cade Otton","TB","TE27","0.0","0.7","0.0","44.2","440.4","2.1","0.0","56.8"
"Zach Ertz","ARI","TE28","0.0","0.3","0.0","43.0","427.0","2.4","0.4","56.1"
"Josh Reynolds","DET","WR93","0.4","0.6","0.0","31.4","437.2","2.1","0.2","56.1"
